State,District,Season,forecast_T_Avg,forecast_R_Total,T_Avg_anomaly_z,R_Total_anomaly_z,Climate_Label,method_T_Avg,method_R_Total,history_years,status
Arunachal Pradesh,Kra Daadi,Kharif,19.775,1914.26,1.469,0.514,Hotter than normal,prophet,prophet,26,ok
Arunachal Pradesh,Kra Daadi,Rabi,10.701,368.05,-0.298,0.888,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Kra Daadi,Summer,15.712,1273.58,-0.281,0.652,Normal,prophet,prophet,27,ok
Arunachal Pradesh,Kra Daadi,Whole Year,14.887,2598.94,0.267,0.515,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Kra Daadi,Winter,8.904,64.71,-0.518,-0.121,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Kurung Kumey,Autumn,11.623,560.93,0.67,0.904,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Kurung Kumey,Kharif,13.98,1182.61,1.219,0.58,Hotter than normal,prophet,prophet,26,ok
Arunachal Pradesh,Kurung Kumey,Rabi,5.316,216.74,0.197,0.867,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Kurung Kumey,Summer,10.166,787.18,0.477,0.859,Normal,prophet,prophet,27,ok
Arunachal Pradesh,Kurung Kumey,Whole Year,9.316,1562.66,0.781,0.547,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Kurung Kumey,Winter,3.859,36.03,0.15,-0.297,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Lohit,Autumn,20.185,1002.99,0.737,0.143,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Lohit,Kharif,22.433,2069.98,1.714,-0.088,Hotter than normal,prophet,prophet,26,ok
Arunachal Pradesh,Lohit,Rabi,13.968,507.39,-0.285,0.619,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Lohit,Summer,19.026,1260.06,-0.48,0.18,Normal,prophet,prophet,27,ok
Arunachal Pradesh,Lohit,Whole Year,17.967,2871.56,0.462,-0.012,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Lohit,Winter,12.32,116.12,-0.224,0.127,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Longding,Autumn,23.037,761.91,0.783,0.308,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Longding,Kharif,25.226,1595.55,1.501,0.292,Hotter than normal,prophet,prophet,26,ok
Arunachal Pradesh,Longding,Rabi,17.17,374.79,-0.384,0.582,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Longding,Summer,22.68,1084.17,-0.238,0.416,Normal,prophet,prophet,27,ok
Arunachal Pradesh,Longding,Whole Year,21.011,2315.23,-0.13,0.375,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Longding,Winter,15.435,86.74,-0.279,0.117,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Lower Dibang Valley,Autumn,26.299,1127.65,0.67,0.055,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Lower Dibang Valley,Kharif,28.522,2351.24,1.917,-0.122,Hotter than normal,prophet,prophet,26,ok
Arunachal Pradesh,Lower Dibang Valley,Rabi,20.03,536.0,-0.399,0.527,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Lower Dibang Valley,Summer,24.938,1385.58,-0.977,0.119,Normal,prophet,prophet,27,ok
Arunachal Pradesh,Lower Dibang Valley,Whole Year,23.999,3171.1,0.183,-0.136,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Lower Dibang Valley,Winter,18.449,111.94,-0.208,-0.017,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Lower Siang,Autumn,20.724,1038.76,0.75,0.203,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Lower Siang,Kharif,22.942,2199.08,1.691,0.016,Hotter than normal,prophet,prophet,26,ok
Arunachal Pradesh,Lower Siang,Rabi,14.174,465.51,-0.306,0.765,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Lower Siang,Summer,19.177,1486.53,-0.458,0.444,Normal,prophet,prophet,27,ok
Arunachal Pradesh,Lower Siang,Whole Year,18.21,3068.46,0.136,0.219,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Lower Siang,Winter,12.511,85.75,-0.264,-0.087,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Lower Subansiri,Autumn,20.247,959.31,0.385,0.37,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Lower Subansiri,Kharif,22.626,2068.68,1.523,0.388,Hotter than normal,prophet,prophet,26,ok
Arunachal Pradesh,Lower Subansiri,Rabi,13.742,403.06,-0.492,0.793,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Lower Subansiri,Summer,19.291,1322.07,0.431,0.438,Normal,prophet,prophet,27,ok
Arunachal Pradesh,Lower Subansiri,Whole Year,17.906,2819.59,-0.117,0.301,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Lower Subansiri,Winter,11.973,70.51,-0.514,-0.205,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Namsai,Autumn,22.718,861.4,0.465,0.25,Normal,prophet,prophet,26,ok
